央视频道,#genre#
CCTV7,http://192.168.2.3:36000/itv/6000000001000009055.m3u8?cdn=wasusyt
CCTV7,http://192.168.2.3:36000/itv/1000000005000265007.m3u8?cdn=ystenlive
CCTV8,http://127.0.0.1:35345/ysptp/cctv8.m3u8
CCTV8,http://192.168.2.3:36000/gaoma/cctv8.m3u8
CCTV8,http://192.168.2.3:36000/itv/6000000001000001070.m3u8?cdn=wasusyt
CCTV8,http://192.168.2.3:36000/itv/1000000005000265008.m3u8?cdn=ystenlive
CCTV9,http://127.0.0.1:35345/ysptp/cctv9.m3u8
CCTV9,http://192.168.2.3:36000/gaoma/cctv9.m3u8
CCTV9,http://192.168.2.3:36000/itv/1000000001000014583.m3u8?cdn=ystenlive
CCTV9,http://192.168.2.3:36000/itv/6000000001000032162.m3u8?cdn=wasusyt
CCTV9,http://192.168.2.3:36000/itv/1000000005000265009.m3u8?cdn=ystenlive
CCTV10,http://127.0.0.1:35345/ysptp/cctv10.m3u8
CCTV10,http://192.168.2.3:36000/gaoma/cctv10.m3u8
CCTV10,http://192.168.2.3:36000/itv/1000000001000023734.m3u8?cdn=ystenlive
CCTV10,http://192.168.2.3:36000/itv/5000000004000012827.m3u8?cdn=bestzb
CCTV10,http://192.168.2.3:36000/itv/1000000005000265010.m3u8?cdn=ystenlive
CCTV11,http://127.0.0.1:35345/ysptp/cctv11.m3u8
CCTV11,http://192.168.2.3:36000/gaoma/cctv11.m3u8
CCTV11,http://192.168.2.3:36000/itv/5000000011000031106.m3u8?cdn=bestzb
CCTV11,http://192.168.2.3:36000/itv/1000000005000265011.m3u8?cdn=ystenlive
CCTV12,http://127.0.0.1:35345/ysptp/cctv12.m3u8
CCTV12,http://192.168.2.3:36000/gaoma/cctv12.m3u8
CCTV12,http://192.168.2.3:36000/itv/1000000001000032494.m3u8?cdn=ystenlive
CCTV12,http://192.168.2.3:36000/itv/6000000001000022586.m3u8?cdn=wasusyt
CCTV12,http://192.168.2.3:36000/itv/1000000005000265012.m3u8?cdn=ystenlive
CCTV13,http://127.0.0.1:35345/ysptp/cctv13.m3u8
CCTV13,http://192.168.2.3:36000/gaoma/cctv13.m3u8
CCTV13,http://192.168.2.3:36000/itv/5000000011000031108.m3u8?cdn=bestzb
CCTV14,http://127.0.0.1:35345/ysptp/cctv14.m3u8
CCTV14,http://192.168.2.3:36000/gaoma/cctv14.m3u8
CCTV14,http://192.168.2.3:36000/itv/1000000001000008170.m3u8?cdn=ystenlive
CCTV14,http://192.168.2.3:36000/itv/5000000004000006673.m3u8?cdn=bestzb
CCTV14,http://192.168.2.3:36000/itv/1000000005000265013.m3u8?cdn=ystenlive
CCTV15,http://127.0.0.1:35345/ysptp/cctv15.m3u8
CCTV15,http://192.168.2.3:36000/gaoma/cctv15.m3u8
CCTV15,http://192.168.2.3:36000/itv/5000000011000031109.m3u8?cdn=bestzb
CCTV15,http://192.168.2.3:36000/itv/1000000005000265014.m3u8?cdn=ystenlive
CCTV16,http://127.0.0.1:35345/ysptp/cctv16.m3u8
CCTV16,http://192.168.2.3:36000/gaoma/cctv16.m3u8
CCTV16,http://192.168.2.3:36000/itv/1000000006000233002.m3u8?cdn=ystenlive
CCTV16,http://192.168.2.3:36000/itv/5000000008000023254.m3u8?cdn=bestzb
CCTV16,http://192.168.2.3:36000/gaoma/cctv4k16_10m.m3u8
CCTV16,http://192.168.2.3:36000/gaoma/cctv4k16.m3u8
CCTV17,http://127.0.0.1:35345/ysptp/cctv17.m3u8
CCTV17,http://192.168.2.3:36000/gaoma/cctv17.m3u8
CCTV17,http://192.168.2.3:36000/itv/1000000006000268004.m3u8?cdn=ystenlive
CCTV17,http://192.168.2.3:36000/itv/1000000005000265015.m3u8?cdn=ystenlive
CGTN,http://192.168.2.3:36000/itv/7745129417417101820.m3u8?cdn=hnbblive
CGTN记录,http://192.168.2.3:36000/itv/7114647837765104058.m3u8?cdn=hnbblive
CGTNALBY,http://192.168.2.3:36000/gaoma/cgtnar.m3u8
cgtndocumentary,http://192.168.2.3:36000/gaoma/cgtndoc.m3u8
CGTNEN,http://192.168.2.3:36000/gaoma/cgtnen.m3u8
cgtnfrench,http://192.168.2.3:36000/gaoma/cgtnfr.m3u8
cgtnru,http://192.168.2.3:36000/gaoma/cgtnru.m3u8
cgtnsp,http://192.168.2.3:36000/gaoma/cgtnsp.m3u8
重温经典,https://gdcucc.v1.mk/gdcucc/cwjd.m3u8
CHC家庭影院,https://gdcucc.v1.mk/gdcucc/chcjtyy.m3u8
CHC动作电影,https://gdcucc.v1.mk/gdcucc/chcdzdy.m3u8
CCTV4k,http://192.168.2.3:36000/gaoma/cctv4k_10m.m3u8
CCTV4k,http://192.168.2.3:36000/gaoma/cctv4k.m3u8
北京纪实科教8K,https://gdcucc.v1.mk/gdcucc/brtv8k.m3u8
CCTV8k,http://192.168.2.3:36000/gaoma/cctv8k_36m.m3u8
中国教育1台,http://192.168.2.3:36000/itv/5000000002000002652.m3u8?cdn=bestzb
中国教育4台,http://192.168.2.3:36000/itv/5000000011000031126.m3u8?cdn=bestzb
北京卫视,http://192.168.2.3:36000/itv/6000000001000020451.m3u8?cdn=wasusyt
北京卫视,http://192.168.2.3:36000/itv/1000000005000265027.m3u8?cdn=ystenlive
北京纪实科教,http://192.168.2.3:36000/itv/1000000001000001910.m3u8?cdn=ystenlive
北京纪实科教,http://192.168.2.3:36000/itv/1000000005000265020.m3u8?cdn=ystenlive
北京卡酷少儿,http://192.168.2.3:36000/itv/5000000011000265008.m3u8?cdn=bestzb
BTV-重温经典,http://192.168.2.3:36000/bptv/10000100000000050000000003887494.m3u8
萌宠TV,http://192.168.2.3:36000/bptv/10000100000000050000000003887495.m3u8
淘BABY,http://192.168.2.3:36000/bptv/10000100000000050000000003887496.m3u8
淘剧场,http://192.168.2.3:36000/bptv/10000100000000050000000003887497.m3u8
淘电影,http://192.168.2.3:36000/bptv/10000100000000050000000003887498.m3u8
淘娱乐,http://192.168.2.3:36000/bptv/10000100000000050000000003887499.m3u8
北京IPTV4K,http://192.168.2.3:36000/bptv/10000100000000050000000003887500.m3u8
北京体育休闲,http://192.168.2.3:36000/bptv/10000100000000050000000003870779.m3u8
北京新闻,http://192.168.2.3:36000/bptv/10000100000000050000000003870780.m3u8
安徽卫视,http://192.168.2.3:36000/itv/1000000001000030159.m3u8?cdn=ystenlive
安徽卫视,http://192.168.2.3:36000/itv/6000000001000009954.m3u8?cdn=wasusyt
安徽卫视,http://192.168.2.3:36000/itv/1000000005000265025.m3u8?cdn=ystenlive
东南卫视,http://192.168.2.3:36000/itv/5000000004000010584.m3u8?cdn=bestzb
东南卫视,http://192.168.2.3:36000/itv/1000000005000265033.m3u8?cdn=ystenlive
甘肃卫视,http://192.168.2.3:36000/itv/5000000011000031121.m3u8?cdn=bestzb
广东卫视,http://192.168.2.3:36000/itv/1000000001000014176.m3u8?cdn=ystenlive
广东卫视,http://192.168.2.3:36000/itv/6000000001000031076.m3u8?cdn=wasusyt
广东卫视,http://192.168.2.3:36000/itv/1000000005000265034.m3u8?cdn=ystenlive
广西卫视,http://192.168.2.3:36000/itv/5000000011000031118.m3u8?cdn=bestzb
贵州卫视,http://192.168.2.3:36000/itv/5000000004000025843.m3u8?cdn=bestzb
海南卫视,http://192.168.2.3:36000/itv/5000000004000006211.m3u8?cdn=bestzb
河北卫视,http://192.168.2.3:36000/itv/5000000006000040016.m3u8?cdn=bestzb
河南卫视,http://192.168.2.3:36000/itv/5000000011000031119.m3u8?cdn=bestzb
黑龙江卫视,http://192.168.2.3:36000/itv/1000000001000001925.m3u8?cdn=ystenlive
黑龙江卫视,http://192.168.2.3:36000/itv/6000000001000016510.m3u8?cdn=wasusyt
黑龙江卫视,http://192.168.2.3:36000/itv/1000000005000265029.m3u8?cdn=ystenlive
湖北卫视,http://192.168.2.3:36000/itv/1000000001000024621.m3u8?cdn=ystenlive
湖北卫视,http://192.168.2.3:36000/itv/6000000001000015436.m3u8?cdn=wasusyt
湖北卫视,http://192.168.2.3:36000/itv/1000000005000265023.m3u8?cdn=ystenlive
湖南卫视,http://192.168.2.3:36000/itv/5000000004000006692.m3u8?cdn=bestzb
湖南卫视,http://192.168.2.3:36000/itv/6000000001000018044.m3u8?cdn=wasusyt
湖南卫视,http://192.168.2.3:36000/itv/1000000005000265024.m3u8?cdn=ystenlive
湖南金鹰纪实,http://192.168.2.3:36000/itv/5000000011000031203.m3u8?cdn=bestzb
湖南,http://192.168.2.3:36000/itv/5000000011000031206.m3u8?cdn=bestzb
湖南茶频道,http://192.168.2.3:36000/itv/5000000011000031209.m3u8?cdn=bestzb
吉林卫视,http://192.168.2.3:36000/itv/5000000011000031117.m3u8?cdn=bestzb
江苏卫视,http://192.168.2.3:36000/itv/6000000001000014861.m3u8?cdn=wasusyt
江苏卫视,http://192.168.2.3:36000/itv/1000000001000001828.m3u8?cdn=ystenlive
江苏卫视,http://192.168.2.3:36000/itv/1000000005000265030.m3u8?cdn=ystenlive
江西卫视,http://192.168.2.3:36000/itv/1000000006000268001.m3u8?cdn=ystenlive
江西卫视,http://192.168.2.3:36000/itv/1000000005000265032.m3u8?cdn=ystenlive
辽宁卫视,http://192.168.2.3:36000/itv/5000000004000011671.m3u8?cdn=bestzb
辽宁卫视,http://192.168.2.3:36000/itv/1000000005000265022.m3u8?cdn=ystenlive
青海卫视,http://192.168.2.3:36000/itv/1000000002000013359.m3u8?cdn=ystenlive
山东卫视,http://192.168.2.3:36000/itv/1000000001000016568.m3u8?cdn=ystenlive
山东卫视,http://192.168.2.3:36000/itv/6000000001000004134.m3u8?cdn=wasusyt
山东卫视,http://192.168.2.3:36000/itv/1000000005000265019.m3u8?cdn=ystenlive
东方卫视,http://192.168.2.3:36000/itv/6000000001000003639.m3u8?cdn=wasusyt
东方卫视,http://192.168.2.3:36000/itv/5000000004000014098.m3u8?cdn=bestzb
东方卫视,http://192.168.2.3:36000/itv/1000000005000265018.m3u8?cdn=ystenlive
上海ICS,http://192.168.2.3:36000/itv/5000000010000030951.m3u8?cdn=bestzb
上海第一财经,http://192.168.2.3:36000/itv/5000000010000027146.m3u8?cdn=bestzb
东方财经,http://192.168.2.3:36000/itv/5000000007000010003.m3u8?cdn=bestzb
上海东方影视,http://192.168.2.3:36000/itv/5000000010000032212.m3u8?cdn=bestzb
上海都市,http://192.168.2.3:36000/itv/5000000010000018926.m3u8?cdn=bestzb
法治天地,http://192.168.2.3:36000/itv/2000000002000000014.m3u8?cdn=hnbblive
哈哈炫动,http://192.168.2.3:36000/itv/5000000011000031123.m3u8?cdn=bestzb
纪实人文,http://192.168.2.3:36000/itv/5000000004000010282.m3u8?cdn=bestzb
纪实人文,http://192.168.2.3:36000/itv/1000000005000265021.m3u8?cdn=ystenlive
五星体育,http://192.168.2.3:36000/itv/5000000010000017540.m3u8?cdn=bestzb
上海新闻综合,http://192.168.2.3:36000/itv/5000000011000031110.m3u8?cdn=bestzb
深圳卫视,http://192.168.2.3:36000/itv/5000000004000007410.m3u8?cdn=bestzb
深圳卫视,http://192.168.2.3:36000/itv/6000000001000002116.m3u8?cdn=wasusyt
深圳卫视,http://192.168.2.3:36000/itv/1000000005000265028.m3u8?cdn=ystenlive
四川卫视,http://192.168.2.3:36000/itv/5000000004000006119.m3u8?cdn=bestzb
天津卫视,http://192.168.2.3:36000/itv/5000000004000006827.m3u8?cdn=bestzb
天津卫视,http://192.168.2.3:36000/itv/6000000001000009186.m3u8?cdn=wasusyt
天津卫视,http://192.168.2.3:36000/itv/1000000005000265026.m3u8?cdn=ystenlive
云南卫视,http://192.168.2.3:36000/itv/5000000011000031120.m3u8?cdn=bestzb
浙江卫视,http://192.168.2.3:36000/itv/5000000004000007275.m3u8?cdn=bestzb
浙江卫视,http://192.168.2.3:36000/itv/1000000001000014260.m3u8?cdn=ystenlive
浙江卫视,http://192.168.2.3:36000/itv/1000000005000265031.m3u8?cdn=ystenlive
重庆卫视,http://192.168.2.3:36000/itv/1000000001000001096.m3u8?cdn=ystenlive
重庆卫视,http://192.168.2.3:36000/itv/1000000005000265017.m3u8?cdn=ystenlive
华数4K,http://192.168.2.3:36000/itv/6000000003000004748.m3u8?cdn=wasusyt
纯享4K,http://192.168.2.3:36000/itv/1000000004000011651.m3u8?cdn=ystenlive
咪咕4K,http://192.168.2.3:36000/itv/3000000010000005180.m3u8?cdn=FifastbLive
咪咕4K,http://192.168.2.3:36000/itv/3000000010000015686.m3u8?cdn=FifastbLive
LOVENATURE,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
LOUPE4K,https://d2dw21aq0j0l5c.cloudfront.net/playlist_3840x2160.m3u8
FASHIONONE,https://fash2043.cloudycdn.services/slive/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/playlist.m3u8
咪咕全民热练,http://192.168.2.3:36000/itv/3000000020000031315.m3u8?cdn=FifastbLive
求索动物,http://192.168.2.3:36000/itv/6000000002000010046.m3u8?cdn=wasusyt
求索纪录,http://192.168.2.3:36000/itv/6000000002000032052.m3u8?cdn=wasusyt
求索科学,http://192.168.2.3:36000/itv/6000000002000032344.m3u8?cdn=wasusyt
求索生活,http://192.168.2.3:36000/itv/6000000002000003382.m3u8?cdn=wasusyt
NewTV精品综合,http://192.168.2.3:36000/itv/1000000004000019008.m3u8?cdn=ystenlive
newtv精品大剧,http://192.168.2.3:36000/itv/1000000004000013968.m3u8?cdn=ystenlive
newtv精品纪录,http://192.168.2.3:36000/itv/1000000004000013730.m3u8?cdn=ystenlive
newtv精品体育,http://192.168.2.3:36000/itv/1000000004000014634.m3u8?cdn=ystenlive
NEWTV精品萌宠,http://192.168.2.3:36000/itv/1000000006000032328.m3u8?cdn=ystenlive
newtv爱情喜剧,http://192.168.2.3:36000/itv/2000000003000000010.m3u8?cdn=hnbblive
newtv超级电视剧,http://192.168.2.3:36000/itv/1000000006000268003.m3u8?cdn=ystenlive
newtv超级电影,http://192.168.2.3:36000/itv/1000000003000012426.m3u8?cdn=ystenlive
newtv超级体育,http://192.168.2.3:36000/itv/1000000001000009601.m3u8?cdn=ystenlive
newtv超级综艺,http://192.168.2.3:36000/itv/1000000006000268002.m3u8?cdn=ystenlive
newtv潮妈辣婆,http://192.168.2.3:36000/itv/2000000003000000018.m3u8?cdn=hnbblive
NewTV东北热剧,http://192.168.2.3:36000/itv/1000000005000266013.m3u8?cdn=ystenlive
newtv动作电影,http://192.168.2.3:36000/itv/1000000004000018653.m3u8?cdn=ystenlive
NewTV古装剧场,http://192.168.2.3:36000/itv/2000000003000000024.m3u8?cdn=hnbblive
NewTV欢乐剧场,http://192.168.2.3:36000/itv/1000000005000266012.m3u8?cdn=ystenlive
newtv家庭剧场,http://192.168.2.3:36000/itv/1000000004000008284.m3u8?cdn=ystenlive
NewTV金牌综艺,http://192.168.2.3:36000/itv/1000000004000026167.m3u8?cdn=ystenlive
newtv惊悚悬疑,http://192.168.2.3:36000/itv/1000000004000024282.m3u8?cdn=ystenlive
newtv军旅剧场,http://192.168.2.3:36000/itv/2000000003000000014.m3u8?cdn=hnbblive
newtv军事评论,http://192.168.2.3:36000/itv/2000000003000000022.m3u8?cdn=hnbblive
NewTV魅力潇湘,http://192.168.2.3:36000/itv/1000000001000006197.m3u8?cdn=ystenlive
NewTV明星大片,http://192.168.2.3:36000/itv/2000000003000000016.m3u8?cdn=hnbblive
newtv农业致富,http://192.168.2.3:36000/itv/2000000003000000003.m3u8?cdn=hnbblive
NEWTV武博世界,http://192.168.2.3:36000/itv/2000000003000000007.m3u8?cdn=hnbblive
newtv炫舞未来,http://192.168.2.3:36000/itv/1000000001000000515.m3u8?cdn=ystenlive
newtv怡伴健康,http://192.168.2.3:36000/itv/1000000005000266011.m3u8?cdn=ystenlive
newtv中国功夫,http://192.168.2.3:36000/itv/2000000003000000009.m3u8?cdn=hnbblive
NEWTV黑莓电影,http://192.168.2.3:36000/itv/1000000004000019624.m3u8?cdn=ystenlive
NEWTV黑莓动画,http://192.168.2.3:36000/itv/1000000004000021734.m3u8?cdn=ystenlive
NEWTV哒啵电竞,http://192.168.2.3:36000/itv/1000000006000032327.m3u8?cdn=ystenlive
NEWTV哒啵赛事,http://192.168.2.3:36000/itv/1000000001000003775.m3u8?cdn=ystenlive
SITV动漫秀场,http://192.168.2.3:36000/itv/5000000011000031113.m3u8?cdn=bestzb
SITV都市剧场,http://192.168.2.3:36000/itv/5000000011000031111.m3u8?cdn=bestzb
SITV法治天地,http://192.168.2.3:36000/itv/9001547084732463424.m3u8?cdn=bestzb
SITV欢笑剧场,http://192.168.2.3:36000/itv/5000000002000009455.m3u8?cdn=bestzb
SITV欢笑剧场,http://192.168.2.3:36000/itv/5000000007000010001.m3u8?cdn=bestzb
SITV金色学堂,http://192.168.2.3:36000/itv/5000000010000026105.m3u8?cdn=bestzb
SITV劲爆体育,http://192.168.2.3:36000/itv/5000000002000029972.m3u8?cdn=bestzb
SITV乐游,http://192.168.2.3:36000/itv/5000000011000031112.m3u8?cdn=bestzb
SITV魅力足球,http://192.168.2.3:36000/itv/5000000011000031207.m3u8?cdn=bestzb
SITV七彩戏剧,http://192.168.2.3:36000/itv/5000000011000031116.m3u8?cdn=bestzb
SITV生活时尚,http://192.168.2.3:36000/itv/5000000002000019634.m3u8?cdn=bestzb
SITV游戏风云,http://192.168.2.3:36000/itv/5000000011000031114.m3u8?cdn=bestzb
IHOT爱电竞,http://192.168.2.3:36000/itv/6000000006000230630.m3u8?cdn=wasusyt
IHOT爱谍战,http://192.168.2.3:36000/itv/6000000006000070630.m3u8?cdn=wasusyt
IHOT爱动漫,http://192.168.2.3:36000/itv/6000000006000280630.m3u8?cdn=wasusyt
IHOT爱都市,http://192.168.2.3:36000/itv/6000000006000080630.m3u8?cdn=wasusyt
IHOT爱怀旧,http://192.168.2.3:36000/itv/6000000006000260630.m3u8?cdn=wasusyt
IHOT爱经典,http://192.168.2.3:36000/itv/6000000006000060630.m3u8?cdn=wasusyt
IHOT爱科幻,http://192.168.2.3:36000/itv/6000000006000020630.m3u8?cdn=wasusyt
IHOT爱科学,http://192.168.2.3:36000/itv/6000000006000160630.m3u8?cdn=wasusyt
IHOT爱浪漫,http://192.168.2.3:36000/itv/6000000006000040630.m3u8?cdn=wasusyt
IHOT爱历史,http://192.168.2.3:36000/itv/6000000006000150630.m3u8?cdn=wasusyt
IHOT爱旅行,http://192.168.2.3:36000/itv/6000000006000250630.m3u8?cdn=wasusyt
IHOT爱奇谈,http://192.168.2.3:36000/itv/6000000006000270630.m3u8?cdn=wasusyt
IHOT爱青春,http://192.168.2.3:36000/itv/6000000006000100630.m3u8?cdn=wasusyt
IHOT爱赛车,http://192.168.2.3:36000/itv/6000000006000240630.m3u8?cdn=wasusyt
IHOT爱体育,http://192.168.2.3:36000/itv/6000000006000290630.m3u8?cdn=wasusyt
IHOT爱玩具,http://192.168.2.3:36000/itv/6000000006000220630.m3u8?cdn=wasusyt
IHOT爱喜剧,http://192.168.2.3:36000/itv/6000000006000010630.m3u8?cdn=wasusyt
IHOT爱悬疑,http://192.168.2.3:36000/itv/6000000006000050630.m3u8?cdn=wasusyt
IHOT爱幼教,http://192.168.2.3:36000/itv/6000000006000180630.m3u8?cdn=wasusyt
IHOT爱院线,http://192.168.2.3:36000/itv/6000000006000030630.m3u8?cdn=wasusyt
咪咕4k,http://192.168.2.3:36000/itv/3000000001000005308.m3u8?cdn=FifastbLive
咪咕4k,http://192.168.2.3:36000/itv/3000000001000005969.m3u8?cdn=FifastbLive
咪咕4k,http://192.168.2.3:36000/itv/3000000001000007218.m3u8?cdn=FifastbLive
咪咕4k,http://192.168.2.3:36000/itv/3000000001000008001.m3u8?cdn=FifastbLive
咪咕4k,http://192.168.2.3:36000/itv/3000000001000008176.m3u8?cdn=FifastbLive
咪咕4k,http://192.168.2.3:36000/itv/3000000001000008379.m3u8?cdn=FifastbLive
咪咕4k,http://192.168.2.3:36000/itv/3000000001000010129.m3u8?cdn=FifastbLive
咪咕4k,http://192.168.2.3:36000/itv/3000000001000010948.m3u8?cdn=FifastbLive
咪咕4k,http://192.168.2.3:36000/itv/3000000001000028638.m3u8?cdn=FifastbLive
咪咕4k,http://192.168.2.3:36000/itv/3000000001000031494.m3u8?cdn=FifastbLive
咪咕4k,http://192.168.2.3:36000/itv/3000000010000005837.m3u8?cdn=FifastbLive
咪咕4k,http://192.168.2.3:36000/itv/3000000020000011518.m3u8?cdn=FifastbLive
咪咕4k,http://192.168.2.3:36000/itv/3000000020000011519.m3u8?cdn=FifastbLive
咪咕4k,http://192.168.2.3:36000/itv/3000000020000011520.m3u8?cdn=FifastbLive
咪咕4k,http://192.168.2.3:36000/itv/3000000020000011521.m3u8?cdn=FifastbLive
咪咕4k,http://192.168.2.3:36000/itv/3000000020000011522.m3u8?cdn=FifastbLive
咪咕4k,http://192.168.2.3:36000/itv/3000000020000011523.m3u8?cdn=FifastbLive
咪咕4k,http://192.168.2.3:36000/itv/3000000020000011524.m3u8?cdn=FifastbLive
咪咕4k,http://192.168.2.3:36000/itv/3000000020000011525.m3u8?cdn=FifastbLive
咪咕4k,http://192.168.2.3:36000/itv/3000000020000011528.m3u8?cdn=FifastbLive
咪咕4k,http://192.168.2.3:36000/itv/3000000020000011529.m3u8?cdn=FifastbLive
咪咕4k,http://192.168.2.3:36000/itv/3000000020000011530.m3u8?cdn=FifastbLive
咪咕4k,http://192.168.2.3:36000/itv/3000000020000011531.m3u8?cdn=FifastbLive
咪咕4k,http://192.168.2.3:36000/itv/3000000010000000097.m3u8?cdn=FifastbLive
咪咕4k,http://192.168.2.3:36000/itv/3000000010000002019.m3u8?cdn=FifastbLive
咪咕4k,http://192.168.2.3:36000/itv/3000000010000002809.m3u8?cdn=FifastbLive
咪咕4k,http://192.168.2.3:36000/itv/3000000010000003915.m3u8?cdn=FifastbLive
咪咕4k,http://192.168.2.3:36000/itv/3000000010000004193.m3u8?cdn=FifastbLive
咪咕4k,http://192.168.2.3:36000/itv/3000000010000006077.m3u8?cdn=FifastbLive
咪咕4k,http://192.168.2.3:36000/itv/3000000010000006658.m3u8?cdn=FifastbLive
咪咕4k,http://192.168.2.3:36000/itv/3000000010000009788.m3u8?cdn=FifastbLive
咪咕4k,http://192.168.2.3:36000/itv/3000000010000010833.m3u8?cdn=FifastbLive
咪咕4k,http://192.168.2.3:36000/itv/3000000010000011297.m3u8?cdn=FifastbLive
咪咕4k,http://192.168.2.3:36000/itv/3000000010000011518.m3u8?cdn=FifastbLive
咪咕4k,http://192.168.2.3:36000/itv/3000000010000012558.m3u8?cdn=FifastbLive
咪咕4k,http://192.168.2.3:36000/itv/3000000010000012616.m3u8?cdn=FifastbLive
咪咕4k,http://192.168.2.3:36000/itv/3000000010000015470.m3u8?cdn=FifastbLive
咪咕4k,http://192.168.2.3:36000/itv/3000000010000015560.m3u8?cdn=FifastbLive
咪咕4k,http://192.168.2.3:36000/itv/3000000010000017678.m3u8?cdn=FifastbLive
咪咕4k,http://192.168.2.3:36000/itv/3000000010000019839.m3u8?cdn=FifastbLive
咪咕4k,http://192.168.2.3:36000/itv/3000000010000021904.m3u8?cdn=FifastbLive
咪咕4k,http://192.168.2.3:36000/itv/3000000010000023434.m3u8?cdn=FifastbLive
咪咕4k,http://192.168.2.3:36000/itv/3000000010000025380.m3u8?cdn=FifastbLive
咪咕4k,http://192.168.2.3:36000/itv/3000000010000027691.m3u8?cdn=FifastbLive
咪咕4k,http://192.168.2.3:36000/itv/3000000010000031669.m3u8?cdn=FifastbLive
咪咕4k,http://192.168.2.3:36000/itv/2000000003000000060.m3u8?cdn=hnbblive
咪咕4k,http://192.168.2.3:36000/itv/2000000003000000061.m3u8?cdn=hnbblive
咪咕4k,http://192.168.2.3:36000/itv/2000000003000000062.m3u8?cdn=hnbblive
咪咕4k,http://192.168.2.3:36000/itv/2000000003000000063.m3u8?cdn=hnbblive
咪咕4k,http://192.168.2.3:36000/itv/2000000003000000064.m3u8?cdn=hnbblive
咪咕4k,http://192.168.2.3:36000/itv/2000000003000000065.m3u8?cdn=hnbblive
咪咕4k,http://192.168.2.3:36000/itv/1000000006000270001.m3u8?cdn=ystenlive
咪咕4k,http://192.168.2.3:36000/itv/1000000006000270002.m3u8?cdn=ystenlive
咪咕4k,http://192.168.2.3:36000/itv/1000000006000270003.m3u8?cdn=ystenlive
咪咕4k,http://192.168.2.3:36000/itv/1000000006000270004.m3u8?cdn=ystenlive
咪咕4k,http://192.168.2.3:36000/itv/1000000006000270005.m3u8?cdn=ystenlive
咪咕4k,http://192.168.2.3:36000/itv/1000000006000270006.m3u8?cdn=ystenlive

湾湾-本地,#genre#
中天新闻1台,http://127.0.0.1:35345/youtube/vr3XyVCR4T0
中天新闻2台,http://127.0.0.1:35345/youtube/DM_PEM8GrIg
TVBS新聞台,http://127.0.0.1:35345/youtube/2mCSYvcfhtc
TVBS NEWS,http://127.0.0.1:35345/youtube/m_dhMSvUCIc
TVBS 選新闻1,http://127.0.0.1:35345/youtube/73h2HDxdMfw
TVBS 選新闻2,http://127.0.0.1:35345/youtube/NcVEccx1DD8
TVBS 選新闻3,http://127.0.0.1:35345/youtube/8jdQgoj0-Pw
公视新闻,http://127.0.0.1:35345/youtube/quwqlazU-c8
